name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Jose Llado Fernandez-Urrutia,Llado Fernandez-Urrutia,jose-llado-fernandez-urrutia,jose-llado-fernandez-urrutia,3.814,construction,Construction & Engineering,M,Spain,1547574901334,1143.523,1842,1842,//specials-images.forbesimg.com/imageserve/5a811241a7ea431690134020/416x416.jpg?background=000000&cropX1=849&cropX2=3365&cropY1=0&cropY2=2517
Pier Luigi Loro Piana,Loro Piana,pier-luigi-loro-piana,pier-luigi-loro-piana,0,fashion,Fashion & Retail,M,Italy,1547574901334,1465.428,1504,1504,//specials-images.forbesimg.com/imageserve/5a7f9da6a7ea431690132ef2/416x416.jpg?background=000000&cropX1=257&cropX2=1474&cropY1=4&cropY2=1220
Lu Di,Lu,lu-di,no-pic,0,drones,Technology,M,China,1547574901334,1280,1689,1689,
Ma Xingtian,Ma,ma-xingtian,ma-xingtian,,pharmaceuticals,Healthcare,M,China,1518125346501,,,,//specials-images.forbesimg.com/imageserve/53248972c5824d9bcf7c7db5aecfbf2d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=3&cropY2=747
Ma Xiuhui,Ma,ma-xiuhui,ma-xiuhui,23.451,LED lighting,Manufacturing,F,China,1547574901334,1336.512,1627,1627,//specials-images.forbesimg.com/imageserve/5a0b26d3a7ea436b47b55a42/416x416.jpg?background=000000&cropX1=123&cropX2=2403&cropY1=105&cropY2=2386
Maggie Magerko,Magerko,maggie-magerko,maggie-magerko,,building materials,Service,F,United States,1518126063282,,,,
Anand Mahindra,Mahindra,anand-mahindra,anand-mahindra,3.468,automobiles,Automotive,M,India,1547574901334,1613.512,1381,1381,//specials-images.forbesimg.com/imageserve/5bad59a931358e4b208086be/416x416.jpg?background=000000&cropX1=543&cropX2=3212&cropY1=0&cropY2=2667
Vincent McMahon,McMahon,vincent-mcmahon,vincent-mcmahon,4.346,wrestling,Sports,M,United States,1547574901333,3140.078,689,689,//specials-images.forbesimg.com/imageserve/5a9089da31358e79a28a1e8b/416x416.jpg?background=000000&cropX1=158&cropX2=1687&cropY1=287&cropY2=1817
Boris Mints,Mints,boris-mints,boris-mints,,real estate,Real Estate,M,Russia,1518126085167,,,,//specials-images.forbesimg.com/imageserve/5a809ee2a7ea431690133a91/416x416.jpg?background=000000&cropX1=1925&cropX2=4733&cropY1=0&cropY2=2806
Andrei Molchanov,Molchanov,andrei-molchanov,andrei-molchanov,,construction materials,Construction & Engineering,M,Russia,1538748764912,,,,//specials-images.forbesimg.com/imageserve/5a8092b7a7ea4316901339f7/416x416.jpg?background=000000&cropX1=155&cropX2=1168&cropY1=263&cropY2=1276
