Rank,Name,Total_net_worth,Country,Industry
433,Jaran Chiaravanont,$4.13B,Thailand,Diversified
434,Ross Perot,$4.13B,United States,Diversified
435,Sarath Ratanavadi,$4.12B,India,Energy
436,B Wayne Hughes,$4.12B,United States,Services
437,Friede Springer,$4.12B,Germany,Media & Telecom
438,Andrey Guryev,$4.11B,Russian Federation,Industrial
439,Igor Olenicoff,$4.11B,United States,Real Estate
440,Jeremy Jacobs,$4.09B,United States,Food & Beverage
441,Peter-Alexander Wacker,$4.07B,Germany,Industrial
442,Bill Koch,$4.07B,United States,Diversified
443,Alain Merieux,$4.06B,France,Health Care
444,Enrique Razon,$4.06B,Philippines,Services
445,Montri Jiaravanont,$4.06B,Thailand,Diversified
446,John Gandel,$4.05B,Australia,Real Estate
447,Ben Ashkenazy,$4.05B,United States,Real Estate
448,Anil Agarwal,$4.04B,India,Industrial
449,Sergey Galitskiy,$4.04B,Russian Federation,Retail
450,Tom Morris,$4.03B,United Kingdom,Retail
451,Traudl Engelhorn-Vechiatto,$4.03B,Switzerland,Diversified
452,Edwin Leong,$4.02B,Hong Kong,Real Estate
453,Robert Smith,$4.02B,United States,Finance
454,Zong Qinghou,$4.01B,China,Food & Beverage
455,Kjell Inge Rokke,$4.00B,Norway,Industrial
456,Walter Scott,$3.99B,United States,Energy
457,Ann Walton Kroenke,$3.99B,United States,Retail
458,Mark Cuban,$3.98B,United States,Technology
459,Suh Kyung-Bae,$3.97B,"Korea, Republic of",Consumer
460,Peter Hargreaves,$3.97B,United Kingdom,Finance
461,Ira Rennert,$3.97B,United States,Commodities
462,Frits Goldschmeding,$3.96B,Netherlands,Retail
463,Henry Laufer,$3.95B,United States,Finance
464,Zhang Yong,$3.92B,Singapore,Food & Beverage
465,Shu Ping,$3.92B,Singapore,Food & Beverage
466,Thomas Pritzker,$3.91B,United States,Finance
467,Red Emmerson,$3.90B,United States,Industrial
468,Pankaj Patel,$3.89B,India,Health Care
469,Suleiman Kerimov,$3.89B,Russian Federation,Commodities
470,Tung Chien-Cheng,$3.88B,Hong Kong,Services
471,Guenter Herz,$3.86B,Germany,Diversified
472,Mark Shoen,$3.86B,United States,Services
473,Gordon Getty,$3.85B,United States,Diversified
